date,category,debit,credit,balance
2024-01-01 01:19:30,Other,144.01,0.0,3855.99
2024-01-02 16:02:21,Health,168.33,0.0,3687.66
2024-01-03 00:00:00,Refund,0.0,2821.28,6508.94
2024-01-03 23:46:35,Taxi,30.57,0.0,6478.37
2024-01-04 12:55:46,Transport,5.72,0.0,6472.65
2024-01-05 00:00:00,Utility/Bills,280.64,0.0,6192.01
2024-01-05 21:56:29,Events,136.37,0.0,6055.64
2024-01-06 00:31:45,Film/enjoyment,148.78,0.0,5906.86
2024-01-06 11:52:04,Coffee,15.54,0.0,5891.32
2024-01-07 02:46:33,Joy,66.54,0.0,5824.78
2024-01-07 13:31:59,Coffee,13.22,0.0,5811.56
2024-01-07 21:28:56,Rent Car,42.97,0.0,5768.59
2024-01-08 00:29:50,Film/enjoyment,149.47,0.0,5619.12
2024-01-08 19:56:40,Market,91.36,0.0,5527.76
2024-01-09 11:36:13,Motel,97.72,0.0,5430.04
2024-01-10 00:00:00,Gift,0.0,2782.09,8212.13
2024-01-10 12:29:51,Utility/Bills,32.31,0.0,8179.82
2024-01-11 00:00:00,Refund,0.0,3038.12,11217.94
2024-01-11 16:21:51,Health,653.2,0.0,10564.74
2024-01-11 21:35:32,Business_expenses,63.08,0.0,10501.66
2024-01-12 20:37:46,Health,368.37,0.0,10133.29
2024-01-13 16:11:01,Phone,91.74,0.0,10041.55
2024-01-13 17:29:23,Joy,48.16,0.0,9993.39
2024-01-13 18:44:01,Film/enjoyment,109.9,0.0,9883.49
2024-01-14 01:12:52,Film/enjoyment,118.51,0.0,9764.98
2024-01-14 09:06:35,Joy,78.09,0.0,9686.89
2024-01-14 17:34:21,Restaurant,200.6,0.0,9486.29
2024-01-15 02:00:49,Film/enjoyment,127.89,0.0,9358.4
2024-01-15 09:55:29,Motel,130.87,0.0,9227.53
2024-01-16 04:51:28,Joy,60.68,0.0,9166.85
2024-01-16 06:11:23,Rent Car,115.21,0.0,9051.64
2024-01-16 15:45:38,Market,153.12,0.0,8898.52
2024-01-17 04:12:08,Transport,48.24,0.0,8850.28
2024-01-17 11:12:41,Business lunch,95.02,0.0,8755.26
2024-01-17 20:53:31,Restaurant,272.12,0.0,8483.14
2024-01-18 00:00:00,Gift,0.0,830.72,9313.86
2024-01-18 05:09:26,Business_expenses,66.71,0.0,9247.15
2024-01-19 17:51:50,Clothing,115.37,0.0,9131.78
2024-01-20 11:29:15,Market,44.94,0.0,9086.84
2024-01-20 20:35:08,Coffee,14.05,0.0,9072.79
2024-01-20 23:29:22,Sport,17.21,0.0,9055.58
2024-01-21 01:18:24,Travel,124.5,0.0,8931.08
2024-01-21 07:44:18,Business_expenses,66.69,0.0,8864.39
2024-01-21 08:49:24,Joy,145.44,0.0,8718.95
2024-01-22 23:09:08,Market,133.52,0.0,8585.43
2024-01-23 14:12:49,Clothing,99.62,0.0,8485.81
2024-01-23 17:06:58,Communal,23.77,0.0,8462.04
2024-01-23 23:47:33,Learning,610.8,0.0,7851.24
2024-01-24 10:44:07,Events,37.07,0.0,7814.17
2024-01-25 08:54:27,Business_expenses,84.69,0.0,7729.48
2024-01-25 10:10:59,Health,764.19,0.0,6965.29
2024-01-25 13:34:21,Business_expenses,34.89,0.0,6930.4
2024-01-26 04:17:07,Phone,15.14,0.0,6915.26
2024-01-26 07:01:44,Learning,208.99,0.0,6706.27
2024-01-27 09:07:14,Clothing,186.91,0.0,6519.36
2024-01-27 14:25:15,Communal,56.46,0.0,6462.9
2024-01-27 17:40:33,Fuel,129.22,0.0,6333.68
2024-01-28 00:00:00,Refund,0.0,3337.29,9670.97
2024-01-28 06:01:29,Sport,18.52,0.0,9652.45
2024-01-28 08:25:15,Travel,111.15,0.0,9541.3
2024-01-29 11:49:11,Transport,27.72,0.0,9513.58
2024-01-30 03:48:49,Clothing,322.46,0.0,9191.12
2024-01-30 11:05:19,Taxi,145.96,0.0,9045.16
2024-01-30 22:28:19,Coffee,21.74,0.0,9023.42
2024-01-31 15:41:20,Joy,62.01,0.0,8961.41
2024-01-31 21:26:38,Tech,245.35,0.0,8716.06
2024-02-01 03:10:17,Phone,125.47,0.0,8590.59
2024-02-01 07:41:36,Film/enjoyment,13.36,0.0,8577.23
2024-02-02 19:17:26,Learning,349.64,0.0,8227.59
2024-02-02 21:17:03,Transport,23.25,0.0,8204.34
2024-02-03 06:30:24,Film/enjoyment,121.2,0.0,8083.14
2024-02-03 10:44:11,Business_expenses,32.72,0.0,8050.42
2024-02-04 11:51:24,Events,149.46,0.0,7900.96
2024-02-04 20:42:37,Business lunch,143.88,0.0,7757.08
2024-02-04 21:10:06,Utility/Bills,33.31,0.0,7723.77
2024-02-05 00:00:00,Utility/Bills,505.1,0.0,7218.67
2024-02-05 12:07:18,Joy,62.44,0.0,7156.23
2024-02-06 13:48:36,Other,15.48,0.0,7140.75
2024-02-06 17:40:04,Fuel,73.62,0.0,7067.13
2024-02-06 21:25:07,Joy,42.07,0.0,7025.06
2024-02-07 06:54:53,Events,67.83,0.0,6957.23
2024-02-08 16:17:13,Learning,324.08,0.0,6633.15
2024-02-08 23:15:14,Travel,12.93,0.0,6620.22
2024-02-09 05:46:04,Joy,140.06,0.0,6480.16
2024-02-09 12:05:12,Motel,52.19,0.0,6427.97
2024-02-10 04:52:23,Communal,46.16,0.0,6381.81
2024-02-11 01:38:49,Health,320.96,0.0,6060.85
2024-02-11 02:17:06,Tech,158.5,0.0,5902.35
2024-02-12 06:04:18,Loan_Repayment,69.06,0.0,5833.29
2024-02-13 07:31:48,Joy,113.93,0.0,5719.36
2024-02-13 17:22:47,Transport,32.36,0.0,5687.0
2024-02-14 02:17:23,Communal,61.6,0.0,5625.4
2024-02-14 12:29:06,Film/enjoyment,51.9,0.0,5573.5
2024-02-14 13:08:38,Phone,94.39,0.0,5479.11
2024-02-15 20:13:56,Health,418.59,0.0,5060.52
2024-02-16 10:21:27,Health,160.73,0.0,4899.79
2024-02-17 00:00:00,Refund,0.0,1767.11,6666.9
2024-02-17 06:09:21,Fuel,186.94,0.0,6479.96
2024-02-17 11:35:06,Market,108.07,0.0,6371.89
2024-02-17 22:44:32,Restaurant,277.3,0.0,6094.59
2024-02-18 18:14:56,Restaurant,116.6,0.0,5977.99
2024-02-19 22:16:33,Rent Car,66.43,0.0,5911.56
2024-02-20 09:19:38,Clothing,163.74,0.0,5747.82
2024-02-20 14:03:44,Taxi,35.0,0.0,5712.82
2024-02-21 05:51:55,Travel,105.68,0.0,5607.14
2024-02-21 16:38:55,Clothing,216.58,0.0,5390.56
2024-02-22 12:08:06,Transport,18.13,0.0,5372.43
2024-02-23 08:34:32,Coffee,9.73,0.0,5362.7
2024-02-23 09:57:04,Joy,140.83,0.0,5221.87
2024-02-24 00:00:00,Gift,0.0,2427.48,7649.35
2024-02-24 04:39:54,Tech,477.55,0.0,7171.8
2024-02-24 07:19:38,Fuel,154.74,0.0,7017.06
2024-02-24 10:20:04,Market,117.37,0.0,6899.69
2024-02-25 01:54:05,Coffee,38.79,0.0,6860.9
2024-02-25 10:46:48,Tech,165.02,0.0,6695.88
2024-02-25 14:25:03,Transport,41.17,0.0,6654.71
2024-02-26 05:35:46,Health,501.84,0.0,6152.87
2024-02-26 07:45:13,Film/enjoyment,36.45,0.0,6116.42
2024-02-27 18:15:58,Business_expenses,52.81,0.0,6063.61
2024-02-28 09:34:04,Coffee,6.23,0.0,6057.38
2024-02-28 14:48:41,Loan_Repayment,88.54,0.0,5968.84
2024-02-28 17:36:02,Taxi,44.51,0.0,5924.33
2024-02-29 05:33:54,EMI,25.28,0.0,5899.05
2024-02-29 07:07:41,Motel,21.48,0.0,5877.57
2024-03-01 06:51:47,Film/enjoyment,98.41,0.0,5779.16
2024-03-01 20:45:32,Fuel,113.1,0.0,5666.06
2024-03-01 23:09:32,Restaurant,289.03,0.0,5377.03
2024-03-02 06:46:50,Business_expenses,93.44,0.0,5283.59
2024-03-02 13:13:28,Business_expenses,126.88,0.0,5156.71
2024-03-02 17:06:24,Taxi,75.07,0.0,5081.64
2024-03-03 13:59:10,Travel,85.05,0.0,4996.59
2024-03-03 14:24:17,Loan_Repayment,18.59,0.0,4978.0
2024-03-04 00:44:15,Taxi,96.72,0.0,4881.28
2024-03-04 19:36:40,Health,267.53,0.0,4613.75
2024-03-05 00:00:00,Utility/Bills,315.42,0.0,4298.33
2024-03-05 08:42:01,Restaurant,60.39,0.0,4237.94
2024-03-05 16:21:35,Loan_Repayment,97.78,0.0,4140.16
2024-03-05 20:24:12,Motel,117.22,0.0,4022.94
2024-03-06 00:39:06,Film/enjoyment,89.88,0.0,3933.06
2024-03-06 15:48:54,Health,224.0,0.0,3709.06
2024-03-07 00:00:00,Gift,0.0,1450.99,5160.05
2024-03-07 21:24:14,Business_expenses,12.49,0.0,5147.56
2024-03-08 03:00:12,Transport,30.3,0.0,5117.26
2024-03-08 07:20:54,Events,73.98,0.0,5043.28
2024-03-08 11:31:58,Fuel,168.26,0.0,4875.02
2024-03-09 09:10:01,Communal,126.18,0.0,4748.84
2024-03-10 01:09:18,EMI,127.5,0.0,4621.34
2024-03-10 19:26:01,Learning,697.46,0.0,3923.88
2024-03-11 04:05:48,EMI,53.42,0.0,3870.46
2024-03-11 13:43:58,Loan_Repayment,59.35,0.0,3811.11
2024-03-12 06:09:29,Sport,43.91,0.0,3767.2
2024-03-12 14:09:01,Health,773.36,0.0,2993.84
2024-03-12 19:30:22,EMI,109.41,0.0,2884.43
2024-03-13 08:24:55,Communal,25.47,0.0,2858.96
2024-03-14 00:00:00,Refund,0.0,1899.39,4758.35
2024-03-14 06:09:21,Fuel,52.24,0.0,4706.11
2024-03-15 00:47:03,Other,80.34,0.0,4625.77
2024-03-15 04:33:51,Health,451.8,0.0,4173.97
2024-03-15 09:01:15,Utility/Bills,80.78,0.0,4093.19
2024-03-16 09:04:19,Loan_Repayment,140.64,0.0,3952.55
2024-03-16 18:14:25,Phone,36.87,0.0,3915.68
2024-03-17 07:41:19,Fuel,96.44,0.0,3819.24
2024-03-17 13:31:48,Market,182.36,0.0,3636.88
2024-03-17 18:17:46,Film/enjoyment,114.55,0.0,3522.33
2024-03-18 01:47:55,Communal,55.1,0.0,3467.23
2024-03-18 16:12:09,Market,38.02,0.0,3429.21
2024-03-19 10:36:15,EMI,142.22,0.0,3286.99
2024-03-19 13:45:35,Loan_Repayment,113.49,0.0,3173.5
2024-03-20 03:58:10,Events,130.54,0.0,3042.96
2024-03-20 11:17:48,Taxi,121.89,0.0,2921.07
2024-03-20 14:56:39,Sport,13.33,0.0,2907.74
2024-03-21 22:08:16,Utility/Bills,30.89,0.0,2876.85
2024-03-21 23:12:50,Coffee,20.59,0.0,2856.26
2024-03-22 00:29:59,Coffee,7.92,0.0,2848.34
2024-03-22 02:35:14,Business_expenses,114.3,0.0,2734.04
2024-03-22 10:52:28,Taxi,128.77,0.0,2605.27
2024-03-23 12:23:03,Taxi,37.33,0.0,2567.94
2024-03-23 20:38:54,Learning,293.35,0.0,2274.59
2024-03-24 22:20:13,Clothing,202.6,0.0,2071.99
2024-03-24 22:53:23,Coffee,30.29,0.0,2041.7
2024-03-25 00:00:00,Gift,0.0,3757.82,5799.52
2024-03-25 23:09:51,Market,88.02,0.0,5711.5
2024-03-26 12:05:15,Film/enjoyment,130.21,0.0,5581.29
2024-03-27 05:54:06,Communal,24.44,0.0,5556.85
2024-03-27 08:07:06,Restaurant,61.11,0.0,5495.74
2024-03-28 07:40:30,Business lunch,128.56,0.0,5367.18
2024-03-28 17:49:30,Transport,43.5,0.0,5323.68
2024-03-29 06:35:59,Travel,55.68,0.0,5268.0
2024-03-30 11:18:50,Restaurant,254.86,0.0,5013.14
2024-03-31 03:33:35,Business lunch,52.47,0.0,4960.67
2024-03-31 12:11:58,Learning,349.65,0.0,4611.02
2024-04-01 08:14:07,Sport,28.96,0.0,4582.06
2024-04-01 08:22:25,Clothing,227.29,0.0,4354.77
2024-04-01 10:52:36,Tech,2580.62,0.0,1774.15
2024-04-01 11:27:31,Transport,10.52,0.0,1763.63
2024-04-02 01:42:43,Loan_Repayment,46.28,0.0,1717.35
2024-04-03 15:08:32,Phone,128.05,0.0,1589.3
2024-04-04 15:46:18,Travel,91.66,0.0,1497.64
2024-04-05 00:00:00,Refund,0.0,3491.9,4989.54
2024-04-05 00:00:00,Utility/Bills,588.13,0.0,4401.41
2024-04-05 01:11:09,Events,34.94,0.0,4366.47
2024-04-05 18:13:16,Restaurant,31.46,0.0,4335.01
2024-04-06 00:47:27,Sport,103.31,0.0,4231.7
2024-04-06 09:05:36,Phone,100.12,0.0,4131.58
2024-04-06 13:02:33,Business lunch,269.36,0.0,3862.22
2024-04-07 09:26:55,Tech,162.36,0.0,3699.86
2024-04-07 10:48:48,Market,147.19,0.0,3552.67
2024-04-08 02:17:41,Film/enjoyment,128.3,0.0,3424.37
2024-04-08 10:30:30,Rent Car,34.45,0.0,3389.92
2024-04-09 18:35:48,Business lunch,179.01,0.0,3210.91
2024-04-10 20:12:59,Transport,42.55,0.0,3168.36
2024-04-11 00:00:00,Business_income,0.0,2871.39,6039.75
2024-04-11 20:02:54,EMI,140.59,0.0,5899.16
2024-04-12 05:45:49,Learning,215.73,0.0,5683.43
2024-04-12 17:56:51,Business lunch,57.7,0.0,5625.73
2024-04-12 19:33:27,Market,160.22,0.0,5465.51
2024-04-13 00:00:00,Gift,0.0,2688.16,8153.67
2024-04-13 04:03:22,Health,499.47,0.0,7654.2
2024-04-14 03:51:52,Health,517.81,0.0,7136.39
2024-04-14 18:13:44,Utility/Bills,135.71,0.0,7000.68
2024-04-14 20:10:05,Joy,146.78,0.0,6853.9
2024-04-15 00:06:06,Health,440.31,0.0,6413.59
2024-04-15 00:29:09,Coffee,21.98,0.0,6391.61
2024-04-16 23:11:45,Events,117.49,0.0,6274.12
2024-04-17 00:12:53,Loan_Repayment,96.77,0.0,6177.35
2024-04-17 11:47:13,Tech,148.96,0.0,6028.39
2024-04-17 21:19:46,Learning,246.27,0.0,5782.12
2024-04-18 04:18:03,EMI,60.86,0.0,5721.26
2024-04-18 05:36:00,Restaurant,73.29,0.0,5647.97
2024-04-19 20:33:50,Business lunch,221.69,0.0,5426.28
2024-04-20 00:59:53,Loan_Repayment,76.32,0.0,5349.96
2024-04-20 11:37:51,Other,41.91,0.0,5308.05
2024-04-21 00:00:00,Business_income,0.0,1655.64,6963.69
2024-04-21 04:46:09,Market,193.61,0.0,6770.08
2024-04-22 04:51:59,Transport,24.56,0.0,6745.52
