date,category,debit,credit,balance
2024-01-01 00:09:42,Transport,7.3,0.0,7992.7
2024-01-01 00:50:29,Rent Car,81.7,0.0,7911.0
2024-01-01 00:55:48,Rent Car,43.09,0.0,7867.91
2024-01-01 21:09:45,Tech,266.91,0.0,7601.0
2024-01-02 00:00:00,Business_income,0.0,2491.24,10092.24
2024-01-02 18:30:49,Transport,10.9,0.0,10081.34
2024-01-02 23:07:18,Joy,114.52,0.0,9966.82
2024-01-03 14:56:26,Motel,26.82,0.0,9940.0
2024-01-03 15:32:32,Loan_Repayment,92.75,0.0,9847.25
2024-01-03 21:17:55,Fuel,36.57,0.0,9810.68
2024-01-04 04:09:18,Phone,77.66,0.0,9733.02
2024-01-04 11:32:59,Business_expenses,129.7,0.0,9603.32
2024-01-05 00:00:00,Utility/Bills,452.97,0.0,9150.35
2024-01-05 03:33:59,Other,93.41,0.0,9056.94
2024-01-05 04:17:21,Loan_Repayment,82.91,0.0,8974.03
2024-01-05 16:29:30,Film/enjoyment,24.22,0.0,8949.81
2024-01-06 06:10:58,Tech,101.87,0.0,8847.94
2024-01-06 11:20:43,Motel,109.06,0.0,8738.88
2024-01-07 10:09:23,Events,145.6,0.0,8593.28
2024-01-07 13:19:16,Business_expenses,71.66,0.0,8521.62
2024-01-07 14:36:49,Sport,107.63,0.0,8413.99
2024-01-07 17:54:06,Communal,71.27,0.0,8342.72
2024-01-08 10:44:01,Phone,115.12,0.0,8227.6
2024-01-08 18:09:55,Utility/Bills,36.06,0.0,8191.54
2024-01-09 05:42:25,EMI,26.52,0.0,8165.02
2024-01-09 09:15:09,Loan_Repayment,27.15,0.0,8137.87
2024-01-09 22:34:01,Health,234.27,0.0,7903.6
2024-01-10 09:11:27,Events,129.6,0.0,7774.0
2024-01-10 11:19:20,Transport,19.54,0.0,7754.46
2024-01-10 12:06:50,Film/enjoyment,42.25,0.0,7712.21
2024-01-10 18:54:36,Loan_Repayment,70.45,0.0,7641.76
2024-01-11 13:17:47,Coffee,16.93,0.0,7624.83
