date,category,debit,credit,balance
2024-01-01 00:00:00,EMI,1675.58,0.0,16324.42
2024-01-01 00:05:38,Business_expenses,174.13,0.0,16150.29
2024-01-01 06:02:03,Fuel,210.56,0.0,15939.73
2024-01-01 16:51:33,Film/enjoyment,63.95,0.0,15875.78
2024-01-01 23:26:59,Motel,298.61,0.0,15577.17
2024-01-02 04:34:19,Transport,79.57,0.0,15497.6
2024-01-02 23:37:38,Phone,287.13,0.0,15210.47
2024-01-05 00:00:00,Utility/Bills,1614.13,0.0,13596.34
2024-01-05 02:13:03,Business lunch,553.89,0.0,13042.45
2024-01-06 02:44:27,Utility/Bills,139.11,0.0,12903.34
2024-01-07 00:35:48,Events,280.26,0.0,12623.08
2024-01-07 20:13:05,Business lunch,199.13,0.0,12423.95
2024-01-08 07:10:38,Joy,247.31,0.0,12176.64
2024-01-08 22:08:27,Rent Car,79.97,0.0,12096.67
2024-01-09 08:51:24,Coffee,19.45,0.0,12077.22
2024-01-11 12:36:22,Phone,93.06,0.0,11984.16
2024-01-12 14:21:49,Business_expenses,276.69,0.0,11707.47
2024-01-12 16:09:04,Events,281.22,0.0,11426.25
2024-01-13 10:43:26,Sport,50.5,0.0,11375.75
2024-01-13 23:37:40,Business_expenses,242.97,0.0,11132.78
2024-01-14 19:56:00,Rent Car,110.8,0.0,11021.98
2024-01-15 00:00:00,Loan_Repayment,2979.61,0.0,8042.37
2024-01-21 20:22:30,Transport,76.42,0.0,7965.95
2024-01-30 07:54:21,Health,1523.32,0.0,6442.63
2024-01-31 00:00:00,Salary,0.0,13701.54,20144.17
2024-01-31 11:13:41,Taxi,280.38,0.0,19863.79
2024-02-01 00:00:00,EMI,3524.81,0.0,16338.98
2024-02-01 06:25:49,Utility/Bills,234.2,0.0,16104.78
2024-02-01 22:35:53,Business_expenses,142.78,0.0,15962.0
2024-02-02 11:45:45,Film/enjoyment,280.78,0.0,15681.22
2024-02-02 23:20:42,Joy,270.56,0.0,15410.66
2024-02-05 00:00:00,Utility/Bills,1576.12,0.0,13834.54
2024-02-05 18:47:57,Other,298.22,0.0,13536.32
2024-02-09 23:10:58,Coffee,78.87,0.0,13457.45
2024-02-10 09:49:25,Transport,28.29,0.0,13429.16
2024-02-10 16:46:35,Tech,366.17,0.0,13062.99
2024-02-11 07:29:30,Sport,144.92,0.0,12918.07
2024-02-12 17:00:00,Phone,78.58,0.0,12839.49
2024-02-13 15:31:07,Communal,169.64,0.0,12669.85
2024-02-14 07:06:18,Coffee,76.2,0.0,12593.65
2024-02-14 17:12:53,Market,316.17,0.0,12277.48
2024-02-15 00:00:00,Loan_Repayment,1810.6,0.0,10466.88
2024-02-15 07:41:44,Events,183.46,0.0,10283.42
2024-02-18 08:57:24,Market,110.67,0.0,10172.75
2024-02-19 09:35:51,Business_expenses,218.06,0.0,9954.69
2024-02-19 10:36:04,Film/enjoyment,56.8,0.0,9897.89
2024-02-21 05:13:41,Events,188.89,0.0,9709.0
2024-02-22 18:02:54,Film/enjoyment,25.03,0.0,9683.97
2024-02-29 00:00:00,Salary,0.0,15970.98,25654.95
2024-02-29 08:05:11,EMI,299.38,0.0,25355.57
2024-03-01 00:00:00,EMI,2140.2,0.0,23215.37
2024-03-01 18:01:38,Business_expenses,26.1,0.0,23189.27
