date,category,debit,credit,balance
2024-01-01 00:00:00,EMI,2564.85,0.0,17435.15
2024-01-01 06:27:52,Coffee,29.57,0.0,17405.58
2024-01-01 09:12:46,Rent Car,231.17,0.0,17174.41
2024-01-01 18:15:48,Business lunch,361.45,0.0,16812.96
2024-01-02 02:05:39,Rent Car,49.05,0.0,16763.91
2024-01-02 20:29:48,Clothing,230.24,0.0,16533.67
2024-01-02 22:05:21,Loan_Repayment,85.52,0.0,16448.15
2024-01-03 02:28:32,Restaurant,542.05,0.0,15906.1
2024-01-03 12:52:59,Sport,21.09,0.0,15885.01
2024-01-03 13:46:06,Taxi,84.93,0.0,15800.08
2024-01-03 18:22:48,Taxi,157.95,0.0,15642.13
2024-01-04 02:46:20,Clothing,958.02,0.0,14684.11
2024-01-04 11:10:50,Sport,50.57,0.0,14633.54
2024-01-04 12:26:50,Communal,67.73,0.0,14565.81
2024-01-04 12:38:48,Business_expenses,264.35,0.0,14301.46
2024-01-05 00:00:00,Utility/Bills,1161.54,0.0,13139.92
2024-01-05 03:06:41,Coffee,43.39,0.0,13096.53
2024-01-05 23:25:03,Communal,285.67,0.0,12810.86
2024-01-06 00:40:50,Sport,33.63,0.0,12777.23
2024-01-06 12:27:57,Market,219.64,0.0,12557.59
2024-01-06 21:42:10,Coffee,40.98,0.0,12516.61
2024-01-07 02:06:39,Joy,23.47,0.0,12493.14
2024-01-07 09:44:36,Health,404.76,0.0,12088.38
2024-01-07 12:54:17,Communal,211.91,0.0,11876.47
2024-01-08 10:54:32,Joy,278.94,0.0,11597.53
2024-01-09 03:10:46,Health,648.68,0.0,10948.85
2024-01-09 16:46:41,Utility/Bills,208.59,0.0,10740.26
2024-01-09 23:38:15,Coffee,77.71,0.0,10662.55
2024-01-10 13:58:22,Events,75.35,0.0,10587.2
2024-01-11 02:58:19,Market,383.77,0.0,10203.43
2024-01-11 15:30:12,Market,398.35,0.0,9805.08
2024-01-11 19:40:02,Transport,54.84,0.0,9750.24
2024-01-11 23:17:33,Events,83.28,0.0,9666.96
2024-01-12 09:34:11,Restaurant,124.44,0.0,9542.52
2024-01-14 02:14:13,Communal,187.12,0.0,9355.4
2024-01-15 00:00:00,Loan_Repayment,1742.01,0.0,7613.39
2024-01-17 15:09:49,Sport,152.37,0.0,7461.02
2024-01-19 06:08:17,Transport,87.95,0.0,7373.07
2024-01-20 12:44:37,Learning,296.75,0.0,7076.32
2024-01-20 23:40:49,Rent Car,244.51,0.0,6831.81
2024-01-21 07:14:12,Fuel,300.49,0.0,6531.32
2024-01-21 22:06:19,Business lunch,249.57,0.0,6281.75
2024-01-22 11:36:28,Sport,107.92,0.0,6173.83
2024-01-22 16:59:50,Health,1160.5,0.0,5013.33
2024-01-28 04:08:26,Transport,70.41,0.0,4942.92
2024-01-31 00:00:00,Salary,0.0,12333.41,17276.33
2024-01-31 14:44:27,Market,212.98,0.0,17063.35
2024-01-31 22:58:18,Communal,59.55,0.0,17003.8
2024-02-01 00:00:00,EMI,2477.34,0.0,14526.46
2024-02-01 04:33:20,Joy,110.08,0.0,14416.38
2024-02-01 05:34:13,Sport,110.96,0.0,14305.42
2024-02-01 10:07:25,Learning,595.86,0.0,13709.56
2024-02-01 18:14:03,Film/enjoyment,37.46,0.0,13672.1
2024-02-02 02:18:29,Health,381.02,0.0,13291.08
2024-02-02 17:43:12,Tech,613.72,0.0,12677.36
2024-02-03 00:22:12,Tech,495.69,0.0,12181.67
2024-02-04 05:30:41,Coffee,13.01,0.0,12168.66
2024-02-05 00:00:00,Utility/Bills,1230.47,0.0,10938.19
2024-02-05 12:31:36,Motel,208.84,0.0,10729.35
2024-02-05 15:25:47,Film/enjoyment,236.98,0.0,10492.37
2024-02-05 20:07:40,Learning,1131.77,0.0,9360.6
2024-02-05 23:05:22,Communal,184.88,0.0,9175.72
2024-02-07 20:32:41,Rent Car,156.25,0.0,9019.47
2024-02-09 14:30:46,Market,97.83,0.0,8921.64
2024-02-09 23:49:29,Business_expenses,97.05,0.0,8824.59
2024-02-10 13:14:29,Motel,205.92,0.0,8618.67
2024-02-10 23:24:38,Taxi,276.56,0.0,8342.11
2024-02-11 21:09:19,Tech,745.8,0.0,7596.31
2024-02-12 20:17:13,Joy,152.63,0.0,7443.68
2024-02-13 14:03:12,Clothing,179.39,0.0,7264.29
2024-02-13 15:36:36,Coffee,20.88,0.0,7243.41
2024-02-15 00:00:00,Loan_Repayment,1522.06,0.0,5721.35
2024-02-19 02:18:23,Utility/Bills,138.66,0.0,5582.69
2024-02-22 21:57:28,Utility/Bills,247.3,0.0,5335.39
2024-02-26 05:51:23,Health,1154.43,0.0,4180.96
2024-02-29 00:00:00,Salary,0.0,12830.11,17011.07
2024-02-29 05:12:02,Business lunch,213.03,0.0,16798.04
2024-02-29 07:19:42,Restaurant,346.56,0.0,16451.48
2024-02-29 09:09:39,Business_expenses,80.37,0.0,16371.11
2024-02-29 22:31:13,Phone,254.89,0.0,16116.22
2024-03-01 00:00:00,EMI,2099.16,0.0,14017.06
2024-03-01 15:54:25,Loan_Repayment,237.57,0.0,13779.49
2024-03-02 05:00:51,Restaurant,139.05,0.0,13640.44
2024-03-02 17:15:32,Events,168.0,0.0,13472.44
2024-03-03 02:38:27,Joy,50.54,0.0,13421.9
2024-03-03 04:29:36,Other,223.05,0.0,13198.85
2024-03-03 15:47:37,Joy,237.2,0.0,12961.65
2024-03-03 23:08:35,Coffee,11.37,0.0,12950.28
2024-03-04 03:10:59,Market,133.25,0.0,12817.03
2024-03-04 03:31:21,Transport,19.91,0.0,12797.12
2024-03-04 04:46:11,Business lunch,492.26,0.0,12304.86
2024-03-04 15:13:55,Taxi,79.5,0.0,12225.36
2024-03-05 00:00:00,Utility/Bills,1024.56,0.0,11200.8
2024-03-05 11:33:52,Film/enjoyment,144.04,0.0,11056.76
2024-03-06 11:50:06,Sport,158.54,0.0,10898.22
2024-03-06 14:10:43,Clothing,702.55,0.0,10195.67
2024-03-07 18:03:17,Sport,85.29,0.0,10110.38
2024-03-08 03:43:20,Market,126.98,0.0,9983.4
2024-03-09 19:42:37,Rent Car,223.0,0.0,9760.4
2024-03-09 21:36:34,Business lunch,232.17,0.0,9528.23
2024-03-10 05:31:29,Loan_Repayment,142.51,0.0,9385.72
2024-03-11 06:07:58,Travel,206.87,0.0,9178.85
2024-03-11 15:29:13,EMI,190.39,0.0,8988.46
2024-03-12 00:41:07,Travel,177.53,0.0,8810.93
2024-03-12 14:07:07,Rent Car,253.75,0.0,8557.18
2024-03-13 06:30:12,Restaurant,368.82,0.0,8188.36
2024-03-13 22:02:39,Travel,198.98,0.0,7989.38
