date,category,debit,credit,balance
2024-09-11 01:33:42+00:00,Phone,3.0,0.0,4997.0
2024-09-11 02:18:44+00:00,Transport,0.5,0.0,4996.5
2024-09-11 04:06:22+00:00,Market,14.0,0.0,4982.5
2024-09-11 08:37:19+00:00,Events,50.0,0.0,4932.5
2024-09-11 09:05:52+00:00,Taxi,6.0,0.0,4926.5
2024-09-11 10:28:50+00:00,Phone,12.0,0.0,4914.5
2024-09-11 14:07:41+00:00,Health,6.0,0.0,4908.5
2024-09-11 14:29:43+00:00,Coffe,8.0,0.0,4900.5
2024-09-11 18:18:23+00:00,Transport,0.5,0.0,4900.0
2024-09-11 19:30:18+00:00,Communal,180.0,0.0,4720.0
2024-09-12 02:15:51+00:00,Transport,0.5,0.0,4719.5
2024-09-12 04:03:03+00:00,Market,4.1,0.0,4715.4
2024-09-12 06:08:25+00:00,Restuarant,8.1,0.0,4707.3
2024-09-12 09:00:00+00:00,Coffe,6.0,0.0,4701.3
2024-09-12 12:56:21+00:00,Restuarant,7.2,0.0,4694.1
2024-09-12 14:15:57+00:00,Coffe,5.6,0.0,4688.5
2024-09-12 17:00:05+00:00,Transport,0.5,0.0,4688.0
2024-09-12 17:41:51+00:00,Market,4.0,0.0,4684.0
2024-09-13 04:09:00+00:00,Coffe,21.0,0.0,4663.0
2024-09-13 04:55:16+00:00,Taxi,4.0,0.0,4659.0
2024-09-13 08:45:33+00:00,Transport,0.5,0.0,4658.5
2024-09-13 09:38:22+00:00,Business lunch,12.0,0.0,4646.5
2024-09-13 14:17:53+00:00,Coffe,7.4,0.0,4639.1
2024-09-14 04:06:45+00:00,Transport,0.5,0.0,4638.6
2024-09-14 04:06:48+00:00,Market,12.1,0.0,4626.5
2024-09-14 04:06:51+00:00,Taxi,2.5,0.0,4624.0
2024-09-14 04:06:56+00:00,Coffe,10.0,0.0,4614.0
2024-09-14 07:41:25+00:00,Phone,1.0,0.0,4613.0
2024-09-14 12:05:16+00:00,Restuarant,118.0,0.0,4495.0
2024-09-14 12:32:08+00:00,Transport,0.5,0.0,4494.5
2024-09-14 13:08:17+00:00,Sport,3.0,0.0,4491.5
2024-09-14 13:20:12+00:00,Market,6.0,0.0,4485.5
2024-09-15 06:45:47+00:00,Taxi,2.6,0.0,4482.9
2024-09-15 06:47:02+00:00,Market,14.0,0.0,4468.9
2024-09-15 06:56:13+00:00,Coffe,8.0,0.0,4460.9
2024-09-15 15:52:41+00:00,Tech,510.0,0.0,3950.9
2024-09-15 15:52:46+00:00,Restuarant,178.0,0.0,3772.9
2024-09-16 04:02:17+00:00,Market,11.0,0.0,3761.9
2024-09-16 06:45:27+00:00,Restuarant,8.0,0.0,3753.9
2024-09-16 09:03:35+00:00,Coffe,9.0,0.0,3744.9
2024-09-16 12:40:25+00:00,Market,6.23,0.0,3738.67
2024-09-16 12:46:35+00:00,Restuarant,11.0,0.0,3727.67
2024-09-16 14:19:57+00:00,Coffe,8.0,0.0,3719.67
2024-09-16 17:49:02+00:00,Transport,1.0,0.0,3718.67
2024-09-16 19:06:12+00:00,Market,4.0,0.0,3714.67
2024-09-16 19:06:14+00:00,Health,14.0,0.0,3700.67
2024-09-17 02:57:01+00:00,Transport,1.0,0.0,3699.67
2024-09-17 03:58:32+00:00,Market,8.0,0.0,3691.67
2024-09-17 04:03:30+00:00,Coffe,6.0,0.0,3685.67
2024-09-17 09:30:53+00:00,Business lunch,10.0,0.0,3675.67
2024-09-17 09:59:22+00:00,Phone,15.0,0.0,3660.67
2024-09-17 14:19:51+00:00,Coffe,8.0,0.0,3652.67
2024-09-17 16:03:03+00:00,Taxi,8.0,0.0,3644.67
2024-09-17 18:08:17+00:00,Restuarant,40.0,0.0,3604.67
2024-09-17 19:18:21+00:00,Restuarant,10.0,0.0,3594.67
2024-09-18 04:04:29+00:00,Market,14.0,0.0,3580.67
2024-09-18 09:27:46+00:00,Business lunch,10.0,0.0,3570.67
2024-09-18 09:47:46+00:00,Events,30.0,0.0,3540.67
2024-09-18 14:29:58+00:00,Coffe,6.0,0.0,3534.67
2024-09-18 17:39:24+00:00,Transport,1.0,0.0,3533.67
2024-09-18 18:20:25+00:00,Market,17.0,0.0,3516.67
2024-09-19 03:54:25+00:00,Transport,0.5,0.0,3516.17
2024-09-19 06:28:56+00:00,Restuarant,7.2,0.0,3508.97
2024-09-19 08:29:23+00:00,Phone,12.0,0.0,3496.97
2024-09-19 14:28:19+00:00,business_expenses,24.0,0.0,3472.97
2024-09-19 14:45:20+00:00,Coffe,8.0,0.0,3464.97
2024-09-19 18:09:42+00:00,Market,7.0,0.0,3457.97
2024-09-20 04:34:00+00:00,Transport,1.0,0.0,3456.97
2024-09-20 06:33:51+00:00,Restuarant,8.0,0.0,3448.97
2024-09-20 09:56:18+00:00,Market,7.0,0.0,3441.97
2024-09-20 13:57:27+00:00,Other,10.0,0.0,3431.97
2024-09-20 15:02:11+00:00,Other,10.0,0.0,3421.97
2024-09-20 15:44:23+00:00,Other,12.0,0.0,3409.97
2024-09-21 07:59:49+00:00,Market,7.4,0.0,3402.57
2024-09-21 08:00:07+00:00,Taxi,3.0,0.0,3399.57
2024-09-21 08:31:25+00:00,Coffe,8.0,0.0,3391.57
2024-09-21 12:14:35+00:00,Transport,0.5,0.0,3391.07
2024-09-21 12:54:57+00:00,Market,5.0,0.0,3386.07
2024-09-22 04:10:00+00:00,Market,7.0,0.0,3379.07
2024-09-22 04:10:45+00:00,Taxi,2.6,0.0,3376.47
2024-09-22 05:27:00+00:00,Coffe,8.0,0.0,3368.47
2024-09-22 11:27:12+00:00,Restuarant,48.0,0.0,3320.47
2024-09-22 11:43:13+00:00,Coffe,7.0,0.0,3313.47
2024-09-22 13:26:54+00:00,Transport,1.0,0.0,3312.47
2024-09-23 02:18:06+00:00,Transport,0.5,0.0,3311.97
2024-09-23 04:21:22+00:00,Coffe,16.0,0.0,3295.97
2024-09-23 04:32:41+00:00,Coffe,5.25,0.0,3290.72
2024-09-23 09:44:46+00:00,Business lunch,12.0,0.0,3278.72
2024-09-23 09:44:51+00:00,Market,5.0,0.0,3273.72
2024-09-23 14:15:14+00:00,Coffe,4.5,0.0,3269.22
2024-09-23 16:49:10+00:00,business_expenses,15.0,0.0,3254.22
2024-09-23 17:42:09+00:00,Transport,0.5,0.0,3253.72
2024-09-23 18:37:15+00:00,Market,7.2,0.0,3246.52
2024-09-24 03:44:00+00:00,Market,6.2,0.0,3240.32
2024-09-24 07:44:25+00:00,Taxi,7.0,0.0,3233.32
2024-09-24 14:16:20+00:00,Coffe,7.4,0.0,3225.92
2024-09-24 16:04:17+00:00,Restuarant,12.0,0.0,3213.92
2024-09-24 16:42:43+00:00,Transport,0.5,0.0,3213.42
2024-09-25 02:21:57+00:00,Transport,0.5,0.0,3212.92
2024-09-25 08:26:17+00:00,Restuarant,8.5,0.0,3204.42
2024-09-25 09:05:37+00:00,Coffe,5.25,0.0,3199.17
2024-09-25 15:33:58+00:00,Coffe,4.4,0.0,3194.77
2024-09-25 17:44:30+00:00,Coffe,13.0,0.0,3181.77
2024-09-25 19:37:03+00:00,Transport,0.5,0.0,3181.27
2024-09-26 02:14:06+00:00,Transport,0.5,0.0,3180.77
2024-09-26 03:57:00+00:00,Market,6.5,0.0,3174.27
2024-09-26 06:44:21+00:00,Restuarant,7.2,0.0,3167.07
2024-09-26 09:03:40+00:00,Coffe,8.4,0.0,3158.67
2024-09-26 15:30:11+00:00,Coffe,7.4,0.0,3151.27
2024-09-26 17:14:24+00:00,Transport,0.5,0.0,3150.77
2024-09-26 18:12:16+00:00,Market,9.0,0.0,3141.77
2024-09-27 02:24:07+00:00,Transport,0.5,0.0,3141.27
2024-09-27 03:55:58+00:00,Market,7.0,0.0,3134.27
2024-09-27 06:42:03+00:00,Restuarant,17.1,0.0,3117.17
2024-09-27 09:21:27+00:00,Coffe,8.0,0.0,3109.17
2024-09-27 12:39:39+00:00,Restuarant,8.0,0.0,3101.17
2024-09-27 14:13:16+00:00,Coffe,7.4,0.0,3093.77
2024-09-27 17:06:44+00:00,Transport,0.5,0.0,3093.27
2024-09-28 04:04:41+00:00,Transport,0.5,0.0,3092.77
2024-09-28 05:31:53+00:00,Market,8.0,0.0,3084.77
2024-09-28 05:58:09+00:00,Coffe,13.0,0.0,3071.77
2024-09-28 10:54:02+00:00,Coffe,13.0,0.0,3058.77
2024-09-28 12:52:17+00:00,Transport,0.5,0.0,3058.27
2024-09-28 13:31:37+00:00,Market,8.0,0.0,3050.27
2024-09-29 02:57:07+00:00,Transport,0.5,0.0,3049.77
2024-09-29 04:29:03+00:00,Market,7.4,0.0,3042.37
2024-09-29 04:53:24+00:00,Coffe,15.0,0.0,3027.37
2024-09-29 10:40:38+00:00,Restuarant,8.0,0.0,3019.37
2024-09-29 13:11:41+00:00,Transport,0.5,0.0,3018.87
2024-09-29 13:11:44+00:00,Market,4.8,0.0,3014.07
2024-09-30 01:33:42+00:00,Salary,0.0,7000.0,10014.07
2024-09-30 02:24:37+00:00,Transport,0.5,0.0,10013.57
2024-09-30 04:10:44+00:00,Market,3.75,0.0,10009.82
2024-09-30 06:41:23+00:00,Restuarant,8.0,0.0,10001.82
2024-09-30 10:06:19+00:00,Restuarant,40.0,0.0,9961.82
2024-09-30 14:19:09+00:00,Coffe,4.5,0.0,9957.32
2024-09-30 18:29:56+00:00,Restuarant,145.0,0.0,9812.32
