date,category,debit,credit,balance
2024-01-01 00:00:00,EMI,1048.7,0.0,13951.3
2024-01-01 05:09:14,Rent Car,209.32,0.0,13741.98
2024-01-02 17:43:17,Events,198.27,0.0,13543.71
2024-01-02 19:42:35,Loan_Repayment,123.58,0.0,13420.13
2024-01-03 03:19:07,EMI,88.7,0.0,13331.43
2024-01-03 10:32:05,Sport,98.34,0.0,13233.09
2024-01-03 23:35:03,Phone,186.49,0.0,13046.6
2024-01-04 01:16:20,Communal,97.36,0.0,12949.24
2024-01-04 01:48:14,Utility/Bills,87.61,0.0,12861.63
2024-01-04 16:25:28,Other,226.88,0.0,12634.75
2024-01-04 23:04:22,Tech,647.75,0.0,11987.0
2024-01-05 00:00:00,Utility/Bills,568.6,0.0,11418.4
2024-01-05 05:10:18,Joy,78.61,0.0,11339.79
2024-01-05 16:40:37,Health,332.99,0.0,11006.8
2024-01-05 22:26:04,Learning,690.83,0.0,10315.97
2024-01-06 08:48:56,Motel,233.7,0.0,10082.27
2024-01-06 14:49:07,Phone,179.53,0.0,9902.74
2024-01-07 07:47:22,Coffee,25.03,0.0,9877.71
2024-01-07 12:33:37,Travel,36.34,0.0,9841.37
2024-01-07 12:55:18,Phone,239.16,0.0,9602.21
2024-01-08 09:18:48,Film/enjoyment,162.49,0.0,9439.72
2024-01-09 08:19:13,Clothing,489.11,0.0,8950.61
2024-01-09 17:00:16,Health,815.59,0.0,8135.02
2024-01-10 01:27:19,Taxi,35.32,0.0,8099.7
2024-01-10 02:22:54,Business_expenses,225.13,0.0,7874.57
2024-01-10 22:23:08,Fuel,117.49,0.0,7757.08
2024-01-11 09:18:26,EMI,52.13,0.0,7704.95
2024-01-11 23:36:44,Business_expenses,59.68,0.0,7645.27
2024-01-12 14:48:19,Clothing,259.75,0.0,7385.52
2024-01-12 15:10:16,Transport,79.81,0.0,7305.71
2024-01-13 10:06:13,Business lunch,350.72,0.0,6954.99
2024-01-14 04:25:26,Health,756.21,0.0,6198.78
2024-01-14 06:26:14,Phone,171.18,0.0,6027.6
2024-01-14 06:56:10,Loan_Repayment,51.02,0.0,5976.58
2024-01-14 22:59:18,Events,61.27,0.0,5915.31
2024-01-15 00:00:00,Loan_Repayment,1197.73,0.0,4717.58
2024-01-15 19:33:40,Travel,109.29,0.0,4608.29
2024-01-16 03:58:01,Restaurant,91.67,0.0,4516.62
2024-01-16 09:34:28,Utility/Bills,178.27,0.0,4338.35
2024-01-16 13:26:15,Travel,221.54,0.0,4116.81
2024-01-16 22:45:22,Health,707.9,0.0,3408.91
2024-01-17 01:13:56,Clothing,749.58,0.0,2659.33
2024-01-17 02:34:31,Restaurant,162.01,0.0,2497.32
2024-01-17 15:02:54,Motel,119.78,0.0,2377.54
2024-01-17 22:03:34,Health,454.45,0.0,1923.09
2024-01-18 15:37:00,Tech,570.22,0.0,1352.87
2024-01-19 15:45:15,Coffee,72.96,0.0,1279.91
2024-01-20 09:11:13,Travel,134.75,0.0,1145.16
2024-01-20 21:03:17,Sport,118.64,0.0,1026.52
2024-01-21 04:41:51,Utility/Bills,195.39,0.0,831.13
2024-01-27 12:03:16,Transport,30.26,0.0,800.87
2024-01-31 00:00:00,Salary,0.0,8388.3,9189.17
2024-01-31 22:14:30,Market,220.87,0.0,8968.3
2024-02-01 00:00:00,EMI,895.48,0.0,8072.82
2024-02-01 09:39:29,Travel,108.98,0.0,7963.84
2024-02-01 16:19:28,Business_expenses,144.48,0.0,7819.36
2024-02-01 19:53:15,Sport,39.01,0.0,7780.35
2024-02-01 20:33:36,Fuel,156.35,0.0,7624.0
2024-02-02 04:30:47,Health,1269.55,0.0,6354.45
2024-02-02 14:33:11,Business lunch,248.23,0.0,6106.22
2024-02-03 02:32:41,Tech,720.64,0.0,5385.58
2024-02-03 14:53:49,Coffee,8.87,0.0,5376.71
2024-02-03 15:13:24,Film/enjoyment,208.56,0.0,5168.15
2024-02-04 04:51:26,Rent Car,56.99,0.0,5111.16
2024-02-05 00:00:00,Utility/Bills,912.74,0.0,4198.42
2024-02-05 06:57:32,Events,103.51,0.0,4094.91
2024-02-05 17:48:38,EMI,39.5,0.0,4055.41
2024-02-06 16:06:23,Utility/Bills,76.66,0.0,3978.75
2024-02-06 18:54:09,Phone,174.81,0.0,3803.94
2024-02-07 00:53:31,Rent Car,213.52,0.0,3590.42
2024-02-07 11:52:37,Motel,146.79,0.0,3443.63
2024-02-07 15:14:55,Restaurant,342.05,0.0,3101.58
2024-02-07 21:56:35,Sport,123.15,0.0,2978.43
2024-02-08 17:44:35,Business lunch,129.85,0.0,2848.58
2024-02-08 18:09:24,Health,848.3,0.0,2000.28
2024-02-08 18:45:08,Coffee,22.5,0.0,1977.78
2024-02-08 20:49:53,Coffee,15.06,0.0,1962.72
2024-02-09 04:03:30,Learning,220.29,0.0,1742.43
2024-02-09 04:40:46,Rent Car,39.35,0.0,1703.08
2024-02-09 13:59:02,Events,172.55,0.0,1530.53
2024-02-09 22:10:18,EMI,171.81,0.0,1358.72
2024-02-10 17:01:40,Communal,24.36,0.0,1334.36
2024-02-10 22:00:31,Business_expenses,26.1,0.0,1308.26
2024-02-11 00:42:24,Joy,144.58,0.0,1163.68
2024-02-11 04:14:46,Coffee,60.45,0.0,1103.23
2024-02-15 01:52:43,Tech,96.82,0.0,1006.41
2024-02-16 19:43:56,Transport,51.23,0.0,955.18
2024-02-19 10:28:23,Utility/Bills,49.4,0.0,905.78
2024-02-20 19:40:09,Utility/Bills,217.54,0.0,688.24
2024-02-29 00:00:00,Salary,0.0,8347.24,9035.48
2024-02-29 10:17:16,Rent Car,225.56,0.0,8809.92
2024-02-29 22:33:12,Communal,145.95,0.0,8663.97
2024-03-01 00:00:00,EMI,1450.9,0.0,7213.07
2024-03-01 21:19:35,Rent Car,39.11,0.0,7173.96
2024-03-02 09:28:50,Tech,328.67,0.0,6845.29
2024-03-02 14:20:16,Rent Car,208.01,0.0,6637.28
2024-03-02 17:17:06,Taxi,65.61,0.0,6571.67
2024-03-02 20:41:07,Loan_Repayment,26.7,0.0,6544.97
2024-03-03 04:10:45,Fuel,128.14,0.0,6416.83
2024-03-03 10:49:03,Events,163.73,0.0,6253.1
2024-03-03 16:27:32,Clothing,396.82,0.0,5856.28
2024-03-03 17:20:13,Health,231.56,0.0,5624.72
2024-03-04 11:14:47,Transport,57.97,0.0,5566.75
2024-03-04 23:27:13,Communal,231.58,0.0,5335.17
2024-03-05 00:00:00,Utility/Bills,570.47,0.0,4764.7
2024-03-05 05:14:33,Business_expenses,19.12,0.0,4745.58
2024-03-05 05:19:21,Utility/Bills,68.04,0.0,4677.54
