date,category,debit,credit,balance
2024-01-01 00:00:00,EMI,1215.71,0.0,7784.29
2024-01-01 13:31:57,Rent Car,66.56,0.0,7717.73
2024-01-02 07:41:28,Film/enjoyment,178.27,0.0,7539.46
2024-01-03 07:03:28,Sport,180.95,0.0,7358.51
2024-01-04 03:21:31,Restaurant,69.55,0.0,7288.96
2024-01-04 05:57:13,Sport,205.77,0.0,7083.19
2024-01-04 14:51:56,Transport,40.96,0.0,7042.23
2024-01-05 00:00:00,Utility/Bills,678.38,0.0,6363.85
2024-01-05 06:21:17,Communal,114.39,0.0,6249.46
2024-01-05 19:27:40,Business lunch,267.39,0.0,5982.07
2024-01-05 23:09:26,Clothing,168.79,0.0,5813.28
2024-01-06 05:44:51,Business lunch,345.42,0.0,5467.86
2024-01-06 05:44:59,Loan_Repayment,41.81,0.0,5426.05
2024-01-07 01:16:03,Coffee,73.61,0.0,5352.44
2024-01-07 04:38:13,Health,580.63,0.0,4771.81
2024-01-07 12:00:49,Coffee,51.0,0.0,4720.81
2024-01-07 17:51:44,Loan_Repayment,206.68,0.0,4514.13
2024-01-08 11:49:42,Clothing,448.6,0.0,4065.53
2024-01-08 21:09:35,Business lunch,69.92,0.0,3995.61
2024-01-10 18:18:22,Taxi,162.15,0.0,3833.46
2024-01-11 20:11:12,Phone,55.6,0.0,3777.86
2024-01-11 23:03:07,Coffee,13.17,0.0,3764.69
2024-01-12 08:54:49,Restaurant,122.66,0.0,3642.03
2024-01-13 06:26:15,Market,46.26,0.0,3595.77
2024-01-14 15:48:15,Tech,307.06,0.0,3288.71
2024-01-15 00:00:00,Loan_Repayment,1170.49,0.0,2118.22
2024-01-24 14:21:09,Utility/Bills,220.68,0.0,1897.54
2024-01-31 00:00:00,Salary,0.0,8042.44,9939.98
2024-01-31 06:36:36,Motel,23.51,0.0,9916.47
2024-01-31 17:11:04,Health,269.91,0.0,9646.56
2024-02-01 00:00:00,EMI,1395.9,0.0,8250.66
2024-02-01 00:26:55,Motel,188.64,0.0,8062.02
2024-02-01 07:18:38,EMI,164.91,0.0,7897.11
2024-02-01 19:33:56,EMI,208.15,0.0,7688.96
2024-02-02 04:14:51,Phone,115.7,0.0,7573.26
2024-02-02 14:25:47,Joy,213.56,0.0,7359.7
2024-02-03 07:13:04,Business_expenses,180.91,0.0,7178.79
2024-02-03 12:07:05,Business lunch,249.98,0.0,6928.81
2024-02-03 15:29:17,Taxi,168.53,0.0,6760.28
2024-02-03 22:18:11,Film/enjoyment,146.3,0.0,6613.98
2024-02-04 04:27:19,Coffee,10.79,0.0,6603.19
2024-02-04 06:09:59,Communal,84.67,0.0,6518.52
2024-02-04 09:54:43,Joy,29.46,0.0,6489.06
2024-02-04 22:11:26,EMI,36.96,0.0,6452.1
2024-02-05 00:00:00,Utility/Bills,990.12,0.0,5461.98
2024-02-05 09:02:06,Business_expenses,52.33,0.0,5409.65
2024-02-05 11:58:11,Travel,111.93,0.0,5297.72
2024-02-05 22:20:03,Other,145.92,0.0,5151.8
2024-02-05 23:14:05,Market,294.32,0.0,4857.48
2024-02-06 06:12:54,Utility/Bills,80.88,0.0,4776.6
2024-02-06 10:44:30,Coffee,62.4,0.0,4714.2
2024-02-06 13:37:08,EMI,199.08,0.0,4515.12
2024-02-06 20:17:18,Joy,108.73,0.0,4406.39
2024-02-07 07:47:02,Fuel,226.96,0.0,4179.43
2024-02-07 20:36:00,EMI,77.66,0.0,4101.77
2024-02-08 00:23:45,Tech,649.08,0.0,3452.69
2024-02-08 07:57:52,Sport,185.34,0.0,3267.35
2024-02-08 09:36:58,Phone,196.29,0.0,3071.06
2024-02-08 22:04:41,Transport,21.02,0.0,3050.04
2024-02-09 21:36:43,Communal,29.49,0.0,3020.55
2024-02-12 17:10:58,Communal,183.47,0.0,2837.08
2024-02-14 23:25:14,Film/enjoyment,153.49,0.0,2683.59
2024-02-15 00:00:00,Loan_Repayment,608.36,0.0,2075.23
2024-02-26 04:12:40,Transport,62.27,0.0,2012.96
2024-02-28 18:55:06,Utility/Bills,94.2,0.0,1918.76
2024-02-29 00:00:00,Salary,0.0,7563.03,9481.79
2024-02-29 04:56:51,EMI,64.06,0.0,9417.73
2024-02-29 07:17:20,Events,53.6,0.0,9364.13
2024-03-01 00:00:00,EMI,1750.15,0.0,7613.98
2024-03-01 05:46:00,EMI,210.06,0.0,7403.92
2024-03-01 13:44:06,Communal,204.13,0.0,7199.79
2024-03-02 07:47:17,Coffee,22.82,0.0,7176.97
2024-03-03 01:56:33,Motel,198.39,0.0,6978.58
2024-03-03 21:10:36,Business_expenses,219.75,0.0,6758.83
2024-03-04 21:19:27,Rent Car,170.45,0.0,6588.38
2024-03-05 00:00:00,Utility/Bills,1078.85,0.0,5509.53
2024-03-05 02:35:54,Health,928.53,0.0,4581.0
2024-03-05 08:04:23,Clothing,440.9,0.0,4140.1
2024-03-05 13:49:52,Coffee,35.87,0.0,4104.23
2024-03-05 23:26:45,Communal,214.8,0.0,3889.43
2024-03-06 14:04:08,Business lunch,308.47,0.0,3580.96
2024-03-06 16:27:29,Loan_Repayment,46.61,0.0,3534.35
2024-03-08 05:59:22,Learning,174.96,0.0,3359.39
2024-03-08 11:22:45,Fuel,296.54,0.0,3062.85
2024-03-10 13:31:17,Events,192.65,0.0,2870.2
2024-03-10 13:51:45,Restaurant,395.29,0.0,2474.91
2024-03-29 00:00:00,Salary,0.0,6849.26,9324.17
2024-03-29 22:54:03,Business_expenses,85.62,0.0,9238.55
2024-03-30 05:06:48,Phone,37.49,0.0,9201.06
2024-03-30 17:49:46,Business lunch,94.92,0.0,9106.14
2024-03-30 23:55:12,Business lunch,340.99,0.0,8765.15
2024-03-31 03:52:14,Communal,29.56,0.0,8735.59
2024-04-01 00:00:00,EMI,1383.3,0.0,7352.29
2024-04-01 16:52:52,Utility/Bills,72.29,0.0,7280.0
2024-04-01 21:20:18,Film/enjoyment,79.9,0.0,7200.1
2024-04-02 12:44:07,Business_expenses,180.34,0.0,7019.76
2024-04-02 13:33:52,Market,110.89,0.0,6908.87
2024-04-02 13:51:01,Joy,104.18,0.0,6804.69
2024-04-03 02:41:13,Events,73.58,0.0,6731.11
2024-04-03 08:00:07,Market,203.24,0.0,6527.87
2024-04-03 18:18:46,Coffee,17.75,0.0,6510.12
2024-04-03 21:19:46,Fuel,240.44,0.0,6269.68
2024-04-04 07:30:11,EMI,139.57,0.0,6130.11
2024-04-05 00:00:00,Utility/Bills,477.08,0.0,5653.03
2024-04-05 03:18:16,Loan_Repayment,115.65,0.0,5537.38
2024-04-06 00:41:07,Learning,606.79,0.0,4930.59
2024-04-06 05:45:39,EMI,65.91,0.0,4864.68
2024-04-06 08:17:48,Business_expenses,17.08,0.0,4847.6
2024-04-06 23:47:25,Coffee,54.06,0.0,4793.54
2024-04-07 10:32:56,Taxi,103.72,0.0,4689.82
2024-04-07 13:15:48,Events,98.6,0.0,4591.22
2024-04-07 15:38:53,Business_expenses,92.23,0.0,4498.99
2024-04-07 21:04:27,Tech,576.96,0.0,3922.03
2024-04-08 17:00:43,Joy,114.08,0.0,3807.95
2024-04-08 19:10:16,Taxi,45.35,0.0,3762.6
2024-04-09 07:56:43,Coffee,63.81,0.0,3698.79
2024-04-12 17:22:37,Film/enjoyment,169.98,0.0,3528.81
2024-04-13 08:39:31,Joy,161.06,0.0,3367.75
2024-04-13 15:13:52,Motel,188.36,0.0,3179.39
2024-04-15 00:00:00,Loan_Repayment,1441.67,0.0,1737.72
2024-04-30 00:00:00,Salary,0.0,7783.26,9520.98
2024-04-30 01:28:11,Market,235.34,0.0,9285.64
2024-04-30 22:57:51,Rent Car,35.07,0.0,9250.57
2024-05-01 00:00:00,EMI,1487.41,0.0,7763.16
2024-05-01 05:28:13,Taxi,220.16,0.0,7543.0
2024-05-01 09:31:14,Loan_Repayment,23.25,0.0,7519.75
2024-05-01 10:40:52,Utility/Bills,54.05,0.0,7465.7
2024-05-01 23:01:47,Rent Car,40.53,0.0,7425.17
2024-05-02 00:53:15,Market,283.47,0.0,7141.7
2024-05-02 12:33:17,Utility/Bills,207.19,0.0,6934.51
2024-05-02 20:44:12,Market,146.57,0.0,6787.94
2024-05-03 09:29:49,Tech,404.76,0.0,6383.18
2024-05-04 11:38:34,EMI,222.32,0.0,6160.86
2024-05-05 00:00:00,Utility/Bills,523.79,0.0,5637.07
2024-05-05 05:25:29,Health,420.34,0.0,5216.73
2024-05-06 00:34:28,Sport,155.79,0.0,5060.94
2024-05-06 10:08:22,Loan_Repayment,94.71,0.0,4966.23
2024-05-06 11:59:38,Taxi,189.53,0.0,4776.7
2024-05-06 15:24:36,Loan_Repayment,80.59,0.0,4696.11
2024-05-07 06:21:56,Other,171.55,0.0,4524.56
2024-05-07 12:31:33,Motel,42.04,0.0,4482.52
2024-05-07 23:28:47,Loan_Repayment,208.84,0.0,4273.68
2024-05-08 02:59:51,Restaurant,190.61,0.0,4083.07
2024-05-08 03:42:01,Taxi,86.26,0.0,3996.81
2024-05-08 15:09:30,Business lunch,233.8,0.0,3763.01
