date,category,debit,credit,balance
2024-01-01 00:00:00,EMI,1547.09,0.0,10452.91
2024-01-01 07:59:40,Utility/Bills,193.0,0.0,10259.91
2024-01-01 10:35:44,Transport,41.9,0.0,10218.01
2024-01-02 20:31:57,Business lunch,325.53,0.0,9892.48
2024-01-03 05:01:56,Transport,43.53,0.0,9848.95
2024-01-03 09:43:17,Taxi,144.97,0.0,9703.98
2024-01-04 00:31:47,Travel,145.42,0.0,9558.56
2024-01-04 22:50:01,Motel,124.78,0.0,9433.78
2024-01-05 00:00:00,Utility/Bills,547.6,0.0,8886.18
2024-01-05 16:41:43,Coffee,43.1,0.0,8843.08
2024-01-05 23:41:23,Clothing,249.33,0.0,8593.75
2024-01-06 10:44:02,Transport,17.03,0.0,8576.72
2024-01-06 20:32:25,Fuel,153.19,0.0,8423.53
2024-01-06 21:58:43,Communal,79.1,0.0,8344.43
2024-01-07 20:19:18,Loan_Repayment,111.31,0.0,8233.12
2024-01-07 22:04:21,Business lunch,220.43,0.0,8012.69
2024-01-07 23:41:49,Business_expenses,96.71,0.0,7915.98
2024-01-08 06:22:58,Utility/Bills,183.3,0.0,7732.68
2024-01-08 13:52:25,Transport,29.22,0.0,7703.46
2024-01-09 02:26:25,Events,170.19,0.0,7533.27
2024-01-09 08:52:40,Market,256.17,0.0,7277.1
2024-01-09 14:49:20,Health,776.75,0.0,6500.35
2024-01-10 05:58:59,Utility/Bills,194.77,0.0,6305.58
2024-01-10 14:09:41,Business_expenses,41.33,0.0,6264.25
2024-01-10 20:36:32,Transport,7.48,0.0,6256.77
2024-01-11 00:27:50,Transport,51.9,0.0,6204.87
2024-01-11 03:12:32,Transport,38.41,0.0,6166.46
2024-01-11 06:44:14,Learning,235.37,0.0,5931.09
2024-01-12 14:26:20,Rent Car,109.64,0.0,5821.45
2024-01-13 16:21:34,EMI,41.98,0.0,5779.47
2024-01-14 10:27:02,Motel,25.39,0.0,5754.08
2024-01-15 00:00:00,Loan_Repayment,1140.9,0.0,4613.18
2024-01-15 09:35:54,Tech,535.24,0.0,4077.94
2024-01-16 01:34:23,EMI,168.77,0.0,3909.17
2024-01-16 03:53:08,Communal,25.63,0.0,3883.54
2024-01-16 08:56:14,EMI,41.05,0.0,3842.49
2024-01-17 16:25:35,Learning,526.98,0.0,3315.51
2024-01-18 01:21:13,Film/enjoyment,123.02,0.0,3192.49
2024-01-18 04:43:58,Market,200.99,0.0,2991.5
2024-01-18 20:51:27,Health,1029.65,0.0,1961.85
2024-01-20 09:49:16,Communal,149.3,0.0,1812.55
2024-01-20 11:48:27,Joy,94.48,0.0,1718.07
2024-01-20 13:24:52,Restaurant,123.89,0.0,1594.18
2024-01-21 14:52:02,Rent Car,23.73,0.0,1570.45
2024-01-21 23:00:29,Health,399.48,0.0,1170.97
2024-01-31 00:00:00,Salary,0.0,6434.24,7605.21
2024-01-31 05:37:29,Travel,115.7,0.0,7489.51
2024-02-01 00:00:00,EMI,1348.12,0.0,6141.39
2024-02-01 05:29:26,Clothing,283.88,0.0,5857.51
2024-02-01 18:35:22,Fuel,239.97,0.0,5617.54
2024-02-02 03:57:53,Events,97.74,0.0,5519.8
2024-02-03 09:27:26,Clothing,391.11,0.0,5128.69
2024-02-03 15:18:48,Loan_Repayment,171.72,0.0,4956.97
2024-02-04 13:27:45,Motel,143.51,0.0,4813.46
2024-02-04 15:19:57,Health,364.43,0.0,4449.03
2024-02-05 00:00:00,Utility/Bills,937.54,0.0,3511.49
2024-02-05 03:42:39,Phone,155.9,0.0,3355.59
2024-02-05 06:53:39,Events,38.09,0.0,3317.5
2024-02-05 22:44:36,Fuel,213.62,0.0,3103.88
2024-02-06 01:28:55,Phone,155.81,0.0,2948.07
2024-02-07 08:35:22,Joy,23.47,0.0,2924.6
2024-02-07 12:41:53,Coffee,22.14,0.0,2902.46
2024-02-07 20:12:01,Motel,154.96,0.0,2747.5
2024-02-08 07:47:54,Business lunch,168.43,0.0,2579.07
2024-02-08 12:30:59,Market,236.38,0.0,2342.69
2024-02-08 21:20:25,Motel,39.42,0.0,2303.27
2024-02-09 08:51:15,Taxi,97.76,0.0,2205.51
2024-02-10 21:24:56,Motel,34.63,0.0,2170.88
2024-02-11 04:50:46,Rent Car,14.94,0.0,2155.94
2024-02-11 19:27:15,Sport,140.52,0.0,2015.42
2024-02-12 15:39:35,Taxi,38.89,0.0,1976.53
2024-02-13 03:12:30,Rent Car,139.21,0.0,1837.32
2024-02-13 04:40:46,EMI,113.62,0.0,1723.7
2024-02-14 12:26:18,Communal,59.17,0.0,1664.53
2024-02-15 00:00:00,Loan_Repayment,876.49,0.0,788.04
2024-02-29 00:00:00,Salary,0.0,5885.63,6673.67
2024-02-29 01:17:27,Joy,160.98,0.0,6512.69
2024-02-29 05:46:19,Loan_Repayment,26.83,0.0,6485.86
2024-02-29 11:38:38,Joy,111.37,0.0,6374.49
2024-03-01 00:00:00,EMI,694.39,0.0,5680.1
2024-03-01 01:55:24,Coffee,17.9,0.0,5662.2
2024-03-02 02:06:55,Restaurant,142.12,0.0,5520.08
2024-03-03 11:18:35,Coffee,44.45,0.0,5475.63
2024-03-03 15:04:13,Restaurant,225.04,0.0,5250.59
2024-03-04 04:04:18,Utility/Bills,125.71,0.0,5124.88
2024-03-05 00:00:00,Utility/Bills,643.27,0.0,4481.61
2024-03-05 18:53:12,Rent Car,124.37,0.0,4357.24
2024-03-06 08:10:50,Motel,163.57,0.0,4193.67
2024-03-06 19:09:35,Communal,132.2,0.0,4061.47
2024-03-07 00:27:42,Fuel,41.79,0.0,4019.68
2024-03-08 18:26:44,Events,42.4,0.0,3977.28
2024-03-09 10:59:16,Utility/Bills,67.95,0.0,3909.33
2024-03-09 17:13:25,Health,193.13,0.0,3716.2
2024-03-10 02:22:14,Phone,131.71,0.0,3584.49
2024-03-11 16:37:46,Utility/Bills,124.14,0.0,3460.35
2024-03-11 19:56:14,EMI,178.66,0.0,3281.69
2024-03-11 20:01:09,Coffee,39.23,0.0,3242.46
2024-03-12 01:25:17,Clothing,340.41,0.0,2902.05
2024-03-12 23:09:09,Utility/Bills,37.01,0.0,2865.04
2024-03-13 04:51:06,Rent Car,63.69,0.0,2801.35
2024-03-14 04:58:56,Motel,36.42,0.0,2764.93
2024-03-14 06:52:47,Motel,49.53,0.0,2715.4
2024-03-14 14:18:08,Motel,104.2,0.0,2611.2
2024-03-15 00:00:00,Loan_Repayment,1105.42,0.0,1505.78
2024-03-17 22:12:06,Utility/Bills,55.47,0.0,1450.31
2024-03-19 07:04:26,Utility/Bills,165.06,0.0,1285.25
2024-03-25 12:25:30,Utility/Bills,192.1,0.0,1093.15
2024-03-29 00:00:00,Salary,0.0,6175.51,7268.66
2024-03-29 11:20:08,Motel,141.99,0.0,7126.67
2024-03-29 18:04:50,Clothing,636.77,0.0,6489.9
2024-03-29 19:08:21,Fuel,88.38,0.0,6401.52
2024-03-30 11:00:17,Health,293.77,0.0,6107.75
2024-03-30 16:02:55,Fuel,48.36,0.0,6059.39
2024-03-30 21:00:47,Joy,132.19,0.0,5927.2
2024-03-31 10:32:08,Fuel,208.85,0.0,5718.35
2024-03-31 20:27:16,Coffee,40.38,0.0,5677.97
2024-04-01 00:00:00,EMI,1235.15,0.0,4442.82
2024-04-01 07:31:34,Utility/Bills,22.64,0.0,4420.18
2024-04-01 13:05:29,Utility/Bills,122.47,0.0,4297.71
2024-04-01 14:45:14,Business_expenses,87.11,0.0,4210.6
2024-04-02 17:36:40,Film/enjoyment,64.33,0.0,4146.27
2024-04-02 19:12:33,Market,123.55,0.0,4022.72
2024-04-03 01:05:43,Fuel,53.47,0.0,3969.25
2024-04-03 14:38:50,Learning,970.29,0.0,2998.96
2024-04-03 21:56:26,Restaurant,202.19,0.0,2796.77
2024-04-04 03:54:57,Taxi,20.21,0.0,2776.56
2024-04-04 10:37:34,Learning,660.25,0.0,2116.31
2024-04-05 00:00:00,Utility/Bills,479.61,0.0,1636.7
2024-04-05 18:22:02,Utility/Bills,85.18,0.0,1551.52
2024-04-07 04:32:10,Health,281.47,0.0,1270.05
2024-04-08 16:28:59,Transport,63.39,0.0,1206.66
2024-04-17 17:28:24,Utility/Bills,73.15,0.0,1133.51
2024-04-17 22:31:11,Utility/Bills,127.42,0.0,1006.09
2024-04-30 00:00:00,Salary,0.0,6141.6,7147.69
2024-04-30 11:35:16,Fuel,239.71,0.0,6907.98
2024-05-01 00:00:00,EMI,1546.01,0.0,5361.97
2024-05-01 03:22:53,Business lunch,261.68,0.0,5100.29
2024-05-02 02:50:09,Business_expenses,89.87,0.0,5010.42
2024-05-02 11:07:16,Communal,41.56,0.0,4968.86
2024-05-03 12:25:25,Business lunch,129.95,0.0,4838.91
2024-05-04 15:59:32,Restaurant,183.79,0.0,4655.12
2024-05-05 00:00:00,Utility/Bills,932.79,0.0,3722.33
2024-05-05 06:49:15,Clothing,104.55,0.0,3617.78
2024-05-05 21:27:43,Clothing,189.62,0.0,3428.16
2024-05-06 16:05:12,Business_expenses,193.15,0.0,3235.01
2024-05-07 17:34:09,Tech,561.19,0.0,2673.82
2024-05-08 16:00:50,Taxi,105.81,0.0,2568.01
2024-05-08 18:08:30,Restaurant,340.03,0.0,2227.98
2024-05-08 22:27:43,Learning,351.71,0.0,1876.27
2024-05-09 00:57:04,Motel,82.85,0.0,1793.42
2024-05-09 23:55:32,Transport,63.97,0.0,1729.45
2024-05-10 04:33:24,Health,350.82,0.0,1378.63
2024-05-11 09:36:15,Market,192.72,0.0,1185.91
2024-05-20 17:02:22,Market,125.05,0.0,1060.86
2024-05-22 10:13:25,Transport,52.81,0.0,1008.05
2024-05-31 00:00:00,Salary,0.0,7098.8,8106.85
2024-05-31 02:10:14,Transport,54.15,0.0,8052.7
2024-05-31 18:15:08,Travel,43.45,0.0,8009.25
2024-06-01 00:00:00,EMI,952.88,0.0,7056.37
2024-06-01 04:06:12,Business lunch,294.11,0.0,6762.26
2024-06-01 04:25:09,Restaurant,42.95,0.0,6719.31
2024-06-01 09:44:38,Sport,178.91,0.0,6540.4
2024-06-02 12:49:04,Travel,44.82,0.0,6495.58
2024-06-02 20:28:03,Rent Car,81.24,0.0,6414.34
2024-06-03 05:08:08,Learning,701.64,0.0,5712.7
2024-06-03 06:33:59,Coffee,45.33,0.0,5667.37
2024-06-03 17:24:13,Communal,32.13,0.0,5635.24
2024-06-04 13:51:00,Business_expenses,32.97,0.0,5602.27
2024-06-05 00:00:00,Utility/Bills,391.4,0.0,5210.87
2024-06-05 08:36:28,Joy,132.99,0.0,5077.88
2024-06-05 13:36:53,Business_expenses,19.74,0.0,5058.14
2024-06-05 23:16:13,Travel,131.41,0.0,4926.73
2024-06-06 02:15:58,Transport,7.41,0.0,4919.32
2024-06-06 07:30:40,Taxi,23.23,0.0,4896.09
2024-06-07 06:06:00,Film/enjoyment,139.19,0.0,4756.9
2024-06-07 09:30:05,Clothing,527.72,0.0,4229.18
2024-06-07 18:07:34,Sport,131.49,0.0,4097.69
2024-06-08 04:15:18,Fuel,86.47,0.0,4011.22
2024-06-08 05:57:15,Loan_Repayment,123.57,0.0,3887.65
2024-06-08 09:24:45,Utility/Bills,109.69,0.0,3777.96
2024-06-09 02:47:42,Travel,121.01,0.0,3656.95
2024-06-09 02:56:16,Travel,77.86,0.0,3579.09
2024-06-09 09:44:31,Taxi,172.29,0.0,3406.8
2024-06-10 03:08:33,Fuel,184.16,0.0,3222.64
2024-06-10 04:18:25,Travel,14.68,0.0,3207.96
2024-06-10 14:37:52,Clothing,606.55,0.0,2601.41
2024-06-11 23:17:03,EMI,86.18,0.0,2515.23
2024-06-12 11:28:45,Tech,133.59,0.0,2381.64
2024-06-12 17:45:00,Phone,96.55,0.0,2285.09
2024-06-12 23:55:27,Events,92.46,0.0,2192.63
2024-06-13 06:29:46,Health,745.94,0.0,1446.69
2024-06-14 13:54:55,Transport,56.87,0.0,1389.82
2024-06-18 18:29:18,Utility/Bills,99.25,0.0,1290.57
2024-06-21 21:50:14,Market,63.12,0.0,1227.45
2024-06-21 22:31:08,Transport,18.35,0.0,1209.1
2024-06-24 21:46:43,Market,77.91,0.0,1131.19
2024-06-28 00:00:00,Salary,0.0,6295.42,7426.61
2024-06-28 00:49:17,Sport,80.12,0.0,7346.49
2024-06-28 19:04:55,Loan_Repayment,126.75,0.0,7219.74
2024-06-29 12:04:57,Loan_Repayment,156.41,0.0,7063.33
2024-06-30 09:51:58,Communal,176.97,0.0,6886.36
2024-06-30 12:10:41,Fuel,61.08,0.0,6825.28
2024-06-30 19:45:04,Transport,14.38,0.0,6810.9
