date,category,debit,credit,balance
2024-01-01 00:00:00,EMI,752.58,0.0,2247.42
2024-01-01 00:10:09,Phone,11.95,0.0,2235.47
2024-01-01 21:14:49,Sport,43.67,0.0,2191.8
2024-01-02 06:04:12,Health,193.63,0.0,1998.17
2024-01-02 12:35:52,Business lunch,52.86,0.0,1945.31
2024-01-02 18:09:37,Motel,20.19,0.0,1925.12
2024-01-03 06:54:37,Restaurant,190.38,0.0,1734.74
2024-01-03 18:55:56,Taxi,22.99,0.0,1711.75
2024-01-03 21:44:19,Coffee,34.19,0.0,1677.56
2024-01-04 02:05:33,Tech,244.33,0.0,1433.23
2024-01-04 04:46:00,Communal,8.64,0.0,1424.59
2024-01-04 10:14:06,Travel,76.46,0.0,1348.13
2024-01-05 00:00:00,Utility/Bills,504.57,0.0,843.56
2024-01-05 20:59:38,Loan_Repayment,67.72,0.0,775.84
2024-01-05 22:26:33,Transport,27.85,0.0,747.99
2024-01-06 02:54:49,Coffee,6.13,0.0,741.86
2024-01-07 21:59:32,Coffee,32.93,0.0,708.93
2024-01-08 01:38:58,Travel,61.52,0.0,647.41
2024-01-09 02:00:50,Tech,47.39,0.0,600.02
2024-01-09 18:55:51,Sport,84.93,0.0,515.09
2024-01-10 16:10:04,Transport,21.03,0.0,494.06
2024-01-11 18:17:58,Utility/Bills,27.64,0.0,466.42
2024-01-22 22:46:52,Health,88.8,0.0,377.62
2024-01-31 00:00:00,Salary,0.0,3624.43,4002.05
2024-01-31 07:48:36,Phone,96.28,0.0,3905.77
2024-02-01 00:00:00,EMI,786.33,0.0,3119.44
2024-02-01 02:47:40,Tech,258.05,0.0,2861.39
2024-02-01 07:39:54,Tech,204.78,0.0,2656.61
2024-02-02 04:20:26,Clothing,139.46,0.0,2517.15
2024-02-02 20:41:32,Joy,75.88,0.0,2441.27
2024-02-03 00:12:22,Communal,19.6,0.0,2421.67
2024-02-03 05:10:54,Coffee,12.59,0.0,2409.08
2024-02-03 17:40:13,Film/enjoyment,47.32,0.0,2361.76
2024-02-04 02:16:19,Film/enjoyment,87.25,0.0,2274.51
2024-02-04 11:30:28,Events,51.36,0.0,2223.15
2024-02-04 15:37:08,Fuel,105.73,0.0,2117.42
2024-02-05 00:00:00,Utility/Bills,223.51,0.0,1893.91
2024-02-05 01:01:30,Taxi,100.27,0.0,1793.64
2024-02-05 08:05:09,Events,42.02,0.0,1751.62
2024-02-05 19:55:10,Sport,49.12,0.0,1702.5
2024-02-06 03:25:37,Health,540.65,0.0,1161.85
2024-02-07 05:08:37,Clothing,230.16,0.0,931.69
2024-02-07 07:29:32,Joy,75.75,0.0,855.94
2024-02-07 16:24:19,Market,120.01,0.0,735.93
2024-02-08 04:52:39,Transport,29.58,0.0,706.35
2024-02-08 11:54:18,Phone,10.14,0.0,696.21
2024-02-09 13:04:14,Film/enjoyment,85.41,0.0,610.8
2024-02-09 13:06:37,Business lunch,91.33,0.0,519.47
2024-02-12 20:04:33,Health,151.1,0.0,368.37
2024-02-18 23:24:47,Transport,25.85,0.0,342.52
2024-02-29 00:00:00,Salary,0.0,3316.77,3659.29
2024-02-29 15:28:19,Loan_Repayment,69.72,0.0,3589.57
2024-03-01 00:00:00,EMI,617.68,0.0,2971.89
2024-03-01 21:12:23,Fuel,36.74,0.0,2935.15
2024-03-02 19:54:03,Motel,26.21,0.0,2908.94
2024-03-03 03:22:56,EMI,100.95,0.0,2807.99
2024-03-04 18:00:03,Loan_Repayment,64.77,0.0,2743.22
