date,category,debit,credit,balance
2024-01-01 00:00:00,Refund,0.0,1935.41,11935.41
2024-01-01 01:54:22,Phone,67.98,0.0,11867.43
2024-01-01 10:57:33,Transport,8.05,0.0,11859.38
2024-01-01 20:43:24,Learning,470.73,0.0,11388.65
2024-01-02 08:53:41,Taxi,28.44,0.0,11360.21
2024-01-02 10:40:00,Transport,25.76,0.0,11334.45
2024-01-02 12:35:03,Fuel,37.4,0.0,11297.05
2024-01-02 15:43:02,Film/enjoyment,84.97,0.0,11212.08
2024-01-03 02:32:05,EMI,63.29,0.0,11148.79
2024-01-03 04:31:35,Phone,105.44,0.0,11043.35
2024-01-03 11:41:01,Restaurant,45.58,0.0,10997.77
2024-01-03 18:31:06,Loan_Repayment,135.89,0.0,10861.88
2024-01-04 06:48:43,Health,133.61,0.0,10728.27
2024-01-04 11:06:19,Clothing,115.98,0.0,10612.29
2024-01-04 12:25:50,Rent Car,61.63,0.0,10550.66
2024-01-04 22:03:40,Business lunch,213.2,0.0,10337.46
2024-01-05 00:00:00,Utility/Bills,681.78,0.0,9655.68
2024-01-05 01:53:47,Transport,26.29,0.0,9629.39
2024-01-05 12:38:15,Health,430.21,0.0,9199.18
2024-01-06 01:28:54,Health,115.49,0.0,9083.69
2024-01-07 01:31:13,Transport,12.16,0.0,9071.53
2024-01-08 00:07:27,Utility/Bills,148.12,0.0,8923.41
2024-01-08 17:42:00,Loan_Repayment,138.41,0.0,8785.0
2024-01-08 18:28:57,Joy,25.86,0.0,8759.14
2024-01-08 23:59:28,Health,288.63,0.0,8470.51
2024-01-09 06:06:40,Utility/Bills,29.32,0.0,8441.19
2024-01-09 14:42:51,Business lunch,223.59,0.0,8217.6
2024-01-09 15:21:34,Events,142.31,0.0,8075.29
2024-01-09 23:52:15,Learning,251.79,0.0,7823.5
2024-01-10 01:48:50,Travel,64.02,0.0,7759.48
2024-01-10 08:56:28,Joy,106.99,0.0,7652.49
2024-01-10 12:59:39,Taxi,111.07,0.0,7541.42
2024-01-10 18:43:18,Market,52.63,0.0,7488.79
2024-01-11 07:54:22,Learning,543.16,0.0,6945.63
2024-01-11 11:31:18,Business lunch,204.96,0.0,6740.67
2024-01-12 00:00:00,Business_income,0.0,1490.65,8231.32
2024-01-12 09:47:59,Rent Car,65.15,0.0,8166.17
2024-01-12 15:51:12,Restaurant,252.29,0.0,7913.88
2024-01-12 19:59:45,Events,64.33,0.0,7849.55
2024-01-13 17:50:33,Communal,40.79,0.0,7808.76
2024-01-13 23:06:55,Restaurant,190.88,0.0,7617.88
2024-01-14 05:43:38,Rent Car,46.02,0.0,7571.86
2024-01-14 06:05:59,Joy,61.29,0.0,7510.57
2024-01-14 13:51:47,Market,42.94,0.0,7467.63
2024-01-14 17:50:17,Fuel,34.12,0.0,7433.51
2024-01-15 00:25:16,Taxi,77.13,0.0,7356.38
2024-01-15 05:17:28,Taxi,10.51,0.0,7345.87
2024-01-16 11:24:15,Travel,45.85,0.0,7300.02
2024-01-16 19:24:15,Market,76.18,0.0,7223.84
2024-01-17 14:16:37,Events,26.58,0.0,7197.26
2024-01-17 15:49:58,Loan_Repayment,46.36,0.0,7150.9
2024-01-17 20:31:27,Fuel,42.03,0.0,7108.87
2024-01-18 09:28:13,Other,124.12,0.0,6984.75
2024-01-18 13:04:14,Motel,121.74,0.0,6863.01
2024-01-18 15:07:25,Health,217.35,0.0,6645.66
2024-01-19 08:49:18,Phone,114.48,0.0,6531.18
2024-01-20 00:00:00,Refund,0.0,2376.62,8907.8
2024-01-20 15:03:49,Utility/Bills,13.58,0.0,8894.22
2024-01-21 06:45:54,Fuel,122.33,0.0,8771.89
2024-01-21 15:46:46,EMI,17.17,0.0,8754.72
2024-01-21 17:42:07,Learning,509.04,0.0,8245.68
2024-01-22 18:09:59,Rent Car,48.18,0.0,8197.5
2024-01-23 00:16:31,Learning,118.64,0.0,8078.86
2024-01-23 18:52:21,Restaurant,27.87,0.0,8050.99
2024-01-24 08:09:42,Market,40.87,0.0,8010.12
2024-01-24 16:51:12,Restaurant,94.54,0.0,7915.58
2024-01-24 16:53:39,Learning,799.06,0.0,7116.52
2024-01-24 22:13:12,Motel,69.38,0.0,7047.14
2024-01-25 05:18:03,Travel,104.3,0.0,6942.84
2024-01-25 07:55:47,Restaurant,23.11,0.0,6919.73
2024-01-25 13:54:36,Sport,67.6,0.0,6852.13
2024-01-25 20:01:32,Loan_Repayment,131.39,0.0,6720.74
2024-01-26 00:27:43,Events,146.72,0.0,6574.02
2024-01-26 02:13:05,Clothing,351.81,0.0,6222.21
2024-01-26 12:01:05,Business lunch,40.59,0.0,6181.62
2024-01-26 19:08:53,Tech,212.36,0.0,5969.26
2024-01-27 08:56:50,Business lunch,144.74,0.0,5824.52
2024-01-28 00:00:00,Refund,0.0,3626.74,9451.26
2024-01-28 04:32:27,Fuel,35.88,0.0,9415.38
